IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
103.117.102.48,0,0,0.00,71.67,30.60,38.93,NRT,0.00
104.17.101.139,0,0,0.00,212.77,13.23,14.66,LAX,0.00
104.17.101.139,0,0,0.00,217.84,7.96,72.10,LAX,0.00
104.17.110.49,0,0,0.00,213.48,18.41,18.71,LAX,0.00
104.17.129.181,0,0,0.00,176.77,10.95,12.64,SJC,0.00
104.17.136.37,0,0,0.00,185.29,12.68,13.55,SJC,0.00
104.17.154.53,0,0,0.00,182.22,19.76,22.17,SJC,0.00
104.17.154.53,0,0,0.00,185.26,4.95,5.74,SJC,0.00
104.17.155.3,0,0,0.00,192.56,10.48,11.43,SJC,0.00
104.17.157.109,0,0,0.00,189.67,16.78,21.70,SJC,0.00
104.17.157.204,0,0,0.00,179.41,20.24,20.78,SJC,0.00
104.17.157.207,0,0,0.00,172.11,22.56,24.36,SJC,0.00
104.17.157.249,0,0,0.00,185.45,22.36,26.54,SJC,0.00
104.17.185.207,0,0,0.00,197.26,7.00,7.64,LAX,0.00
104.17.185.207,0,0,0.00,210.94,9.28,12.12,LAX,0.00
104.17.191.63,0,0,0.00,213.99,3.88,9.54,LAX,0.00
104.18.192.172,0,0,0.00,216.16,6.69,7.04,LAX,0.00
104.18.255.252,0,0,0.00,211.30,2.48,6.08,LAX,0.00
104.18.39.150,0,0,0.00,215.74,7.78,8.46,LAX,0.00
104.18.39.152,0,0,0.00,208.36,13.88,48.76,LAX,0.00
104.18.40.189,0,0,0.00,217.14,5.95,6.21,LAX,0.00
104.18.40.47,0,0,0.00,217.37,6.86,33.72,LAX,0.00
104.18.43.204,0,0,0.00,212.53,3.55,5.46,LAX,0.00
104.18.44.151,0,0,0.00,206.76,18.09,64.86,LAX,0.00
104.18.46.111,0,0,0.00,215.88,11.75,14.35,LAX,0.00
104.18.46.37,0,0,0.00,218.89,8.54,13.32,LAX,0.00
104.19.158.176,0,0,0.00,214.80,6.00,6.65,LAX,0.00
104.19.54.143,0,0,0.00,207.90,20.35,21.70,LAX,0.00
104.20.18.179,0,0,0.00,101.86,4.79,41.87,HKG,0.00
104.20.33.190,0,0,0.00,205.03,18.87,49.97,LAX,0.00
104.21.22.53,0,0,0.00,214.09,11.32,12.63,LAX,0.00
104.43.91.69,0,0,0.00,92.34,29.37,50.47,SIN,0.00
108.162.198.113,0,0,0.00,203.97,18.87,23.68,SJC,0.00
108.162.198.119,0,0,0.00,188.45,18.88,27.29,SJC,0.00
108.162.198.127,0,0,0.00,180.40,4.71,5.55,SJC,0.00
