IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
162.159.9.30,0,0,0.00,201.69,7.15,7.33,LAX,427.82
104.16.250.144,0,0,0.00,189.67,7.11,7.14,LAX,407.39
104.17.156.155,0,0,0.00,194.74,7.08,13.36,SJC,363.02
162.159.45.198,0,0,0.00,189.28,7.07,7.25,LAX,375.45
104.18.32.86,0,0,0.00,192.00,7.06,7.31,LAX,404.84
162.159.39.167,0,0,0.00,198.54,7.01,7.18,LAX,394.17
162.159.48.16,0,0,0.00,193.11,6.94,7.11,LAX,415.13
172.64.144.52,0,0,0.00,199.87,6.92,7.07,LAX,411.66
172.64.145.202,0,0,0.00,186.98,6.89,7.10,LAX,396.11
104.16.155.239,0,0,0.00,188.24,6.86,7.17,LAX,404.84
162.159.44.180,0,0,0.00,199.11,6.75,7.06,LAX,408.26
172.64.147.104,0,0,0.00,200.65,6.72,7.01,LAX,420.82
108.162.198.63,0,0,0.00,187.89,6.71,6.88,SJC,371.29
162.159.197.1,0,0,0.00,206.85,6.71,7.27,LAX,1114.99
162.159.35.226,0,0,0.00,187.60,6.67,7.16,LAX,378.55
162.159.39.79,0,0,0.00,197.20,6.61,9.21,LAX,399.33
104.18.43.204,0,0,0.00,195.67,6.59,6.81,LAX,404.84
172.64.53.41,0,0,0.00,190.08,6.57,7.00,LAX,404.26
172.64.155.170,0,0,0.00,205.36,6.56,6.83,LAX,420.67
172.64.52.37,0,0,0.00,200.69,6.55,7.00,LAX,400.81
104.18.40.152,0,0,0.00,185.95,6.48,8.07,LAX,379.14
104.18.255.252,0,0,0.00,199.17,6.40,7.18,LAX,395.42
172.64.154.199,0,0,0.00,187.22,6.31,6.50,LAX,410.94
104.17.63.52,0,0,0.00,199.71,5.93,6.18,LAX,408.52
104.17.154.53,0,0,0.00,163.52,5.84,6.17,SJC,347.32
104.17.155.255,0,0,0.00,164.00,5.83,6.30,SJC,356.12
162.159.198.1,0,0,0.00,193.90,5.62,13.53,LAX,1109.14
172.64.150.71,0,0,0.00,185.95,4.73,6.45,LAX,376.03
162.159.38.196,0,0,0.00,185.56,4.58,5.99,LAX,407.39
104.17.132.14,0,0,0.00,174.15,4.50,6.46,SJC,402.75
