IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
172.64.53.150,4,4,0.00,204.32,14.16,196.68,LAX,607.72
43.159.4.217,4,4,0.00,53.72,34.23,85.05,SIN,802.45
43.159.11.249,4,4,0.00,56.44,37.01,58.69,SIN,806.70
43.159.5.8,4,4,0.00,54.49,36.08,38.09,SIN,800.60
43.159.12.248,4,4,0.00,54.68,33.91,35.03,SIN,1005.16
43.159.4.240,4,4,0.00,57.31,34.39,34.74,SIN,799.43
162.159.38.110,4,4,0.00,212.47,12.94,113.24,LAX,644.50
104.155.208.146,4,4,0.00,64.89,26.49,30.18,TPE,768.93
43.168.16.112,4,4,0.00,56.86,7.17,21.21,HKG,743.27
159.138.138.87,4,4,0.00,57.32,2.85,12.80,HKG,742.83
108.162.198.137,4,4,0.00,168.37,19.06,53.65,SJC,467.31
103.74.192.228,4,4,0.00,91.30,9.98,12.48,HKG,1119.43
104.20.27.227,4,4,0.00,96.80,10.34,12.23,HKG,488.29
104.17.157.37,4,4,0.00,174.54,15.64,19.14,SJC,455.84
108.162.198.89,4,4,0.00,175.43,16.26,19.46,SJC,364.26
104.17.135.151,4,4,0.00,171.36,15.74,15.85,SJC,486.26
108.162.198.161,4,4,0.00,171.75,13.55,15.42,SJC,466.52
104.17.157.207,4,4,0.00,165.71,12.05,12.32,SJC,357.08
104.19.40.53,4,4,0.00,212.93,16.10,35.83,LAX,633.12
108.162.198.23,4,4,0.00,172.80,13.68,14.22,SJC,452.68
