IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
211.49.57.175,4,4,0.00,58.71,43.08,48.78,ICN,711.36
118.218.10.159,4,4,0.00,60.22,42.38,46.95,ICN,718.01
54.248.143.139,4,4,0.00,66.19,36.98,47.39,NRT,747.61
211.49.57.178,4,4,0.00,55.90,36.00,40.05,ICN,712.04
43.159.11.249,4,4,0.00,58.75,30.28,37.00,SIN,974.08
43.168.16.112,4,4,0.00,60.21,20.62,36.90,HKG,710.86
43.159.4.217,4,4,0.00,59.34,35.47,36.22,SIN,978.73
35.76.240.208,4,4,0.00,69.09,35.37,37.34,NRT,739.97
104.155.208.146,4,4,0.00,74.36,29.75,36.01,TPE,746.24
43.98.251.142,4,4,0.00,84.23,34.06,36.76,SIN,792.04
18.178.41.33,4,4,0.00,75.45,33.39,33.87,NRT,722.33
57.182.89.177,4,4,0.00,75.32,25.14,31.52,NRT,775.14
4.194.113.191,4,4,0.00,95.57,30.98,33.96,SIN,998.72
43.159.5.8,4,4,0.00,59.03,26.31,28.48,SIN,984.80
104.17.146.129,4,4,0.00,173.11,11.43,40.24,SJC,454.00
211.49.57.161,4,4,0.00,60.36,19.78,24.24,ICN,711.11
16.76.68.102,4,4,0.00,74.94,24.15,25.19,NRT,747.60
207.148.119.176,4,4,0.00,134.80,28.07,31.26,SIN,469.67
92.38.190.44,4,4,0.00,60.18,16.20,17.02,HEL,1027.22
216.236.58.13,4,4,0.00,111.90,13.62,14.94,HKG,828.82
