IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
211.49.57.161,4,4,0.00,65.17,35.97,62.66,ICN,704.66
211.49.57.175,4,4,0.00,57.44,37.37,47.73,ICN,1145.20
118.218.10.159,4,4,0.00,59.48,44.78,46.39,ICN,686.16
43.168.16.112,4,4,0.00,62.74,17.96,39.94,HKG,716.93
52.199.101.150,4,4,0.00,74.97,31.32,39.19,NRT,738.95
211.49.57.178,4,4,0.00,62.71,34.42,37.34,ICN,716.75
54.65.58.58,4,4,0.00,71.63,28.67,33.48,NRT,737.84
3.112.132.156,4,4,0.00,70.00,31.11,32.60,NRT,738.80
144.24.64.178,4,4,0.00,82.87,24.92,29.44,ICN,833.09
43.98.251.142,4,4,0.00,95.41,27.39,30.83,SIN,827.24
18.179.140.180,4,4,0.00,74.36,23.47,26.76,NRT,767.98
13.193.106.143,4,4,0.00,75.41,22.93,24.83,NRT,727.65
8.222.185.236,4,4,0.00,94.84,17.09,18.88,NRT,1004.17
8.219.155.125,4,4,0.00,93.88,17.90,18.54,NRT,1012.59
8.222.193.153,4,4,0.00,95.81,16.27,17.47,NRT,1029.72
23.27.113.28,4,4,0.00,125.30,16.60,21.03,KUL,834.74
43.164.191.65,4,4,0.00,60.62,6.46,10.83,ICN,737.48
211.49.57.179,4,4,0.00,63.58,9.37,9.92,ICN,733.07
104.16.65.1,4,4,0.00,211.85,12.12,30.02,LAX,473.87
161.248.31.35,4,4,0.00,87.74,5.34,9.85,HKG,883.85
