IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
35.72.81.216,4,4,0.00,83.77,9.74,188.56,NRT,844.21
211.49.57.178,4,4,0.00,58.37,46.56,50.13,ICN,668.82
35.201.155.121,4,4,0.00,70.84,33.51,67.46,TPE,761.44
118.218.10.159,4,4,0.00,62.35,45.63,52.61,ICN,704.09
43.168.16.112,4,4,0.00,58.96,21.62,23.33,HKG,705.32
3.115.50.101,4,4,0.00,74.35,36.99,39.54,NRT,840.44
13.231.33.243,4,4,0.00,74.17,23.17,30.50,NRT,748.30
18.179.140.180,4,4,0.00,71.48,25.04,25.96,NRT,839.92
54.65.58.58,4,4,0.00,75.15,26.47,29.88,NRT,748.92
54.248.143.139,4,4,0.00,80.61,26.39,31.62,NRT,730.49
18.178.41.33,4,4,0.00,83.87,29.20,34.23,NRT,838.83
3.112.132.156,4,4,0.00,79.71,21.95,24.45,NRT,844.07
52.76.97.123,4,4,0.00,91.53,28.46,37.99,SIN,833.66
43.98.251.142,4,4,0.00,91.91,33.71,35.36,SIN,835.04
4.194.113.191,4,4,0.00,92.29,32.07,33.94,SIN,990.67
43.218.77.16,4,4,0.00,105.27,27.51,48.35,CGK,843.08
8.219.155.125,4,4,0.00,87.20,18.86,19.16,NRT,999.68
103.26.8.186,4,4,0.00,93.65,14.14,17.42,SIN,836.07
8.222.185.236,4,4,0.00,93.63,14.91,15.66,NRT,1020.29
216.236.58.13,4,4,0.00,105.97,12.24,16.65,HKG,832.79
