IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
43.164.191.65,4,4,0.00,53.45,23.03,34.26,ICN,208.44
43.159.0.73,4,4,0.00,64.98,19.20,33.52,SIN,361.09
211.49.57.178,4,4,0.00,69.12,26.16,31.19,ICN,247.72
43.98.251.142,4,4,0.00,100.10,26.24,27.80,SIN,356.09
211.49.57.161,4,4,0.00,66.24,13.85,22.21,ICN,246.00
211.49.57.175,4,4,0.00,63.39,19.79,21.25,ICN,245.45
8.222.185.236,4,4,0.00,91.73,17.76,21.24,NRT,565.71
8.219.155.125,4,4,0.00,99.27,17.70,22.04,NRT,555.41
211.49.57.179,4,4,0.00,64.24,9.15,13.67,ICN,248.68
43.168.16.112,4,4,0.00,62.39,5.63,10.41,HKG,205.86
35.201.155.121,4,4,0.00,71.99,8.80,11.61,TPE,307.76
23.27.53.164,4,4,0.00,126.84,9.71,11.83,MAA,652.73
