IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
54.248.143.139,4,4,0.00,74.64,27.76,37.07,NRT,732.95
52.194.99.211,4,4,0.00,68.33,29.04,35.29,NRT,746.56
52.199.22.23,4,4,0.00,69.85,26.58,32.41,NRT,734.18
211.49.57.161,4,4,0.00,60.14,16.13,22.42,ICN,724.31
118.218.10.159,4,4,0.00,61.70,17.05,22.67,ICN,723.92
3.112.132.156,4,4,0.00,69.85,18.97,24.03,NRT,729.48
43.159.0.73,4,4,0.00,54.43,16.38,20.52,SIN,971.36
211.49.57.178,4,4,0.00,60.16,14.96,20.75,ICN,721.85
57.182.89.177,4,4,0.00,72.23,13.54,18.57,NRT,746.54
3.115.50.101,4,4,0.00,72.22,11.97,17.75,NRT,730.03
211.49.57.175,4,4,0.00,60.52,10.15,13.93,ICN,726.04
52.199.101.150,4,4,0.00,68.31,11.00,14.90,NRT,730.38
13.231.33.243,4,4,0.00,72.08,11.10,15.22,NRT,731.59
43.218.77.16,4,4,0.00,105.25,15.07,22.45,CGK,889.79
43.164.191.65,4,4,0.00,53.60,5.71,9.70,ICN,191.71
211.49.57.179,4,4,0.00,59.93,9.38,9.98,ICN,725.61
3.115.38.151,4,4,0.00,73.47,9.07,12.37,NRT,732.67
35.76.240.208,4,4,0.00,71.34,8.07,11.87,NRT,729.23
18.182.54.28,4,4,0.00,72.17,8.79,11.81,NRT,739.91
8.222.193.153,4,4,0.00,90.09,6.57,11.66,NRT,1000.21
