IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
211.49.57.175,4,4,0.00,69.73,22.02,47.22,ICN,712.89
211.49.57.161,4,4,0.00,60.50,32.36,36.74,ICN,707.50
118.218.10.159,4,4,0.00,60.45,23.23,34.14,ICN,712.86
34.81.116.12,4,4,0.00,73.62,29.73,32.65,TPE,761.45
43.218.77.16,4,4,0.00,104.78,24.41,26.44,CGK,873.61
47.75.112.231,4,4,0.00,58.47,17.63,20.42,SJC,1140.57
211.49.57.178,4,4,0.00,60.40,16.97,19.70,ICN,703.87
8.222.185.236,4,4,0.00,87.21,20.70,22.64,NRT,1003.34
8.212.4.124,4,4,0.00,60.93,17.57,18.61,SJC,1161.76
8.222.193.153,4,4,0.00,94.38,20.62,22.76,NRT,1031.83
47.57.240.170,4,4,0.00,58.83,17.81,18.11,SJC,1151.24
198.20.153.191,4,4,0.00,121.25,19.77,22.28,LAX,1390.20
8.219.155.125,4,4,0.00,91.29,16.56,17.27,NRT,1218.24
8.210.29.68,4,4,0.00,62.28,10.55,11.05,HKG,853.59
31.25.88.191,4,4,0.00,147.37,21.04,21.94,FRA,931.57
211.49.57.179,4,4,0.00,63.39,9.53,10.30,ICN,710.61
119.28.162.39,4,4,0.00,56.19,3.70,5.55,ICN,242.46
108.162.198.84,4,4,0.00,193.83,5.78,10.24,SJC,849.68
