IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
211.49.57.178,4,4,0.00,58.88,23.23,56.20,ICN,747.31
118.218.10.159,4,4,0.00,56.36,25.50,33.98,ICN,747.24
52.194.99.211,4,4,0.00,73.53,25.84,32.06,NRT,832.29
52.199.22.23,4,4,0.00,72.43,28.97,31.07,NRT,858.09
43.159.0.73,4,4,0.00,57.32,19.90,28.99,SIN,974.98
3.112.132.156,4,4,0.00,69.89,25.91,30.22,NRT,853.74
4.194.113.191,4,4,0.00,87.40,28.53,29.20,SIN,1136.29
43.218.77.16,4,4,0.00,104.57,20.79,28.10,CGK,972.96
3.115.50.101,4,4,0.00,68.14,15.66,23.61,NRT,858.68
211.49.57.175,4,4,0.00,56.95,15.90,19.91,ICN,750.69
52.199.101.150,4,4,0.00,64.61,12.73,17.96,NRT,973.09
57.182.89.177,4,4,0.00,67.92,12.36,16.61,NRT,854.52
163.61.74.121,4,4,0.00,85.53,11.44,15.21,HKG,1010.99
211.49.57.179,4,4,0.00,59.34,9.57,9.83,ICN,753.79
202.144.194.170,4,4,0.00,71.23,5.70,8.47,NRT,840.33
8.219.195.31,4,4,0.00,87.95,8.03,9.84,NRT,1135.56
8.222.185.236,4,4,0.00,88.10,8.16,9.72,NRT,1133.68
8.219.155.125,4,4,0.00,87.32,7.78,9.42,NRT,1134.75
162.159.44.120,4,4,0.00,209.13,2.86,5.06,LAX,662.63
47.250.212.59,4,4,0.00,279.81,11.48,11.94,SIN,1284.62
