IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
52.194.99.211,4,4,0.00,71.69,29.81,39.38,NRT,728.41
35.72.81.216,4,4,0.00,70.65,24.66,33.52,NRT,725.45
43.159.0.73,4,4,0.00,52.40,20.56,29.70,SIN,974.30
4.194.113.191,4,4,0.00,88.98,28.35,32.91,SIN,998.04
3.115.50.101,4,4,0.00,75.52,18.81,29.10,NRT,781.15
52.199.22.23,4,4,0.00,68.30,22.61,26.61,NRT,738.33
8.219.195.31,4,4,0.00,82.82,19.23,24.74,NRT,1001.19
43.218.77.16,4,4,0.00,103.41,21.36,26.93,CGK,837.26
211.49.57.161,4,4,0.00,56.82,12.53,18.00,ICN,717.33
57.182.89.177,4,4,0.00,71.78,12.60,16.90,NRT,765.12
211.49.57.178,4,4,0.00,61.37,11.88,15.64,ICN,713.17
52.199.101.150,4,4,0.00,70.85,11.41,15.39,NRT,726.55
211.49.57.175,4,4,0.00,56.39,10.30,13.49,ICN,713.27
118.218.10.159,4,4,0.00,60.91,9.90,11.60,ICN,711.13
35.74.74.6,4,4,0.00,65.58,8.86,12.08,NRT,756.71
211.49.57.179,4,4,0.00,58.84,9.10,9.95,ICN,713.85
8.222.185.236,4,4,0.00,82.99,10.16,10.66,NRT,1459.60
163.61.74.121,4,4,0.00,84.95,6.30,10.85,HKG,913.42
8.222.193.153,4,4,0.00,86.52,8.59,10.70,NRT,1625.25
108.162.198.199,4,4,0.00,169.31,9.00,18.64,SJC,551.53
