IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
118.218.10.159,4,4,0.00,70.45,26.20,29.62,ICN,741.55
4.194.113.191,4,4,0.00,102.23,7.31,25.16,SIN,1029.68
211.49.57.175,4,4,0.00,65.30,13.84,18.46,ICN,716.41
3.112.132.156,4,4,0.00,72.62,13.38,17.86,NRT,748.36
211.49.57.161,4,4,0.00,59.55,8.93,11.70,ICN,716.71
57.182.89.177,4,4,0.00,79.90,8.17,12.11,NRT,754.21
13.231.33.243,4,4,0.00,81.30,6.65,8.91,NRT,746.69
163.61.74.121,4,4,0.00,93.70,6.07,8.70,HKG,877.06
8.222.185.236,4,4,0.00,103.26,7.56,8.80,NRT,1040.06
211.49.57.179,4,4,0.00,75.03,6.20,7.15,ICN,840.78
108.162.198.0,4,4,0.00,203.56,8.43,13.56,SJC,398.23
202.144.194.170,4,4,0.00,73.45,4.62,5.66,NRT,720.82
160.22.16.203,4,4,0.00,91.42,5.10,6.48,SIN,944.82
8.219.195.31,4,4,0.00,104.41,5.74,6.76,NRT,1043.15
8.222.193.153,4,4,0.00,104.31,5.90,6.62,NRT,1046.70
172.64.53.126,4,4,0.00,232.94,6.25,12.69,LAX,705.11
162.159.44.57,4,4,0.00,232.39,5.85,11.87,LAX,679.06
172.64.52.57,4,4,0.00,228.98,5.56,11.16,LAX,460.12
162.159.197.1,4,4,0.00,223.45,4.85,10.30,LAX,1173.09
162.159.45.149,4,4,0.00,240.60,6.03,10.76,LAX,707.94
