IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
52.199.22.23,4,4,0.00,72.39,26.27,31.88,NRT,741.38
52.192.132.1,4,4,0.00,72.57,15.70,23.81,NRT,740.51
18.178.41.33,4,4,0.00,77.03,14.97,23.93,NRT,745.13
211.49.57.178,4,4,0.00,64.46,15.27,21.67,ICN,738.37
18.176.37.44,4,4,0.00,73.66,17.35,20.44,NRT,738.58
211.49.57.161,4,4,0.00,61.14,14.62,19.24,ICN,693.77
54.65.58.58,4,4,0.00,71.79,12.58,17.29,NRT,744.11
211.49.57.175,4,4,0.00,62.78,12.01,16.22,ICN,706.92
123.111.169.70,4,4,0.00,80.01,13.35,17.35,ICN,233.38
92.38.190.44,4,4,0.00,64.40,10.41,12.11,SIN,1349.07
207.148.119.176,4,4,0.00,176.93,15.88,18.55,SIN,554.74
8.222.185.236,4,4,0.00,94.76,7.36,11.27,NRT,982.34
161.248.31.35,4,4,0.00,90.51,7.68,10.71,HKG,967.58
8.219.155.125,4,4,0.00,94.87,8.53,10.19,NRT,984.47
8.222.193.153,4,4,0.00,92.83,7.86,9.46,NRT,1200.10
202.144.194.170,4,4,0.00,69.93,5.79,7.46,NRT,737.61
8.219.195.31,4,4,0.00,91.94,6.80,8.84,NRT,988.17
47.239.4.246,4,4,0.00,60.31,4.20,6.49,HKG,713.70
162.159.44.54,4,4,0.00,211.94,9.87,16.66,LAX,612.36
211.49.57.179,4,4,0.00,70.38,5.85,6.31,ICN,820.89
