IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
3.112.132.156,4,4,0.00,85.89,29.08,45.35,NRT,714.74
35.76.240.208,4,4,0.00,80.98,33.79,38.38,NRT,718.95
54.65.58.58,4,4,0.00,79.04,28.74,33.22,NRT,722.17
211.49.57.179,4,4,0.00,79.63,8.25,26.33,ICN,1126.66
47.239.4.246,4,4,0.00,60.67,2.36,19.29,HKG,225.85
211.49.57.178,4,4,0.00,80.93,16.77,18.58,ICN,717.75
8.219.155.125,4,4,0.00,96.52,18.07,19.58,NRT,1374.82
123.111.169.70,4,4,0.00,59.74,13.46,15.53,ICN,209.56
8.222.193.153,4,4,0.00,100.59,16.41,18.52,NRT,1032.14
35.74.74.6,4,4,0.00,82.23,10.23,16.74,NRT,761.13
211.49.57.175,4,4,0.00,70.97,9.72,13.24,ICN,1162.03
52.199.22.23,4,4,0.00,94.75,0.87,13.04,NRT,715.46
202.61.75.46,4,4,0.00,151.12,15.56,17.08,MAA,1304.64
172.64.34.210,4,4,0.00,221.56,6.40,10.56,LAX,924.76
162.159.44.54,4,4,0.00,249.07,6.33,12.26,LAX,477.90
162.159.39.168,4,4,0.00,248.46,4.73,9.10,LAX,493.26
172.64.52.121,4,4,0.00,232.94,2.81,5.43,LAX,543.76
162.159.38.224,4,4,0.00,249.47,3.84,6.04,LAX,779.60
108.162.198.249,4,4,0.00,260.04,2.87,6.54,SJC,1168.51
