IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
185.200.64.238,4,4,0.00,68.83,34.04,47.19,NRT,228.61
211.49.57.178,4,4,0.00,51.16,19.36,31.62,ICN,718.65
188.253.118.174,4,4,0.00,68.92,33.63,34.78,NRT,732.63
207.148.119.176,4,4,0.00,91.09,34.59,36.65,SIN,298.04
18.176.37.44,4,4,0.00,71.05,23.02,31.54,NRT,731.64
47.239.4.246,4,4,0.00,53.34,13.75,24.76,HKG,205.34
149.28.129.157,4,4,0.00,93.72,32.01,34.28,SIN,317.53
18.178.41.33,4,4,0.00,74.65,18.99,27.75,NRT,730.66
4.194.113.191,4,4,0.00,94.36,26.80,31.62,SIN,1036.13
103.135.250.218,4,4,0.00,57.11,14.23,18.51,HKG,692.02
185.200.64.56,4,4,0.00,68.76,14.23,20.70,NRT,750.18
103.26.8.149,4,4,0.00,90.96,23.32,24.92,SIN,1008.67
92.38.190.44,4,4,0.00,61.69,13.16,17.33,KJA,1101.83
123.111.169.70,4,4,0.00,56.22,10.43,15.35,ICN,198.46
159.138.138.87,4,4,0.00,58.17,3.83,13.83,HKG,711.99
8.219.155.125,4,4,0.00,92.12,18.01,20.30,NRT,1020.36
82.40.42.119,4,4,0.00,70.34,10.84,14.48,NRT,733.14
3.112.132.156,4,4,0.00,78.87,14.11,15.05,NRT,735.27
83.229.121.78,4,4,0.00,93.20,11.11,17.94,HKG,307.09
43.218.77.16,4,4,0.00,107.27,14.27,21.29,CGK,388.29
