IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
45.89.232.111,4,4,0.00,73.45,40.75,43.99,NRT,233.53
35.72.81.216,4,4,0.00,76.77,36.27,42.07,NRT,732.04
35.74.74.6,4,4,0.00,74.86,29.84,36.76,NRT,706.93
18.178.41.33,4,4,0.00,73.17,17.53,25.96,NRT,729.91
211.49.57.161,4,4,0.00,59.41,14.83,20.90,ICN,700.43
211.49.57.178,4,4,0.00,60.66,14.51,19.76,ICN,696.36
207.148.119.176,4,4,0.00,116.85,24.98,27.70,SIN,398.74
211.49.57.175,4,4,0.00,59.44,12.34,16.15,ICN,685.91
43.218.77.16,4,4,0.00,111.78,20.93,26.62,CGK,830.54
211.49.57.179,4,4,0.00,59.49,9.23,11.69,ICN,696.76
18.182.54.28,4,4,0.00,73.40,9.63,12.79,NRT,725.55
54.65.58.58,4,4,0.00,76.08,9.97,13.24,NRT,727.07
123.111.169.70,4,4,0.00,54.55,8.34,8.92,ICN,195.34
43.106.102.56,4,4,0.00,83.51,9.01,12.06,SIN,765.79
8.222.185.236,4,4,0.00,87.21,9.79,12.64,NRT,1004.42
47.239.4.246,4,4,0.00,57.59,4.85,6.28,HKG,191.53
161.248.31.35,4,4,0.00,85.15,8.25,11.61,HKG,945.19
103.39.79.236,4,4,0.00,56.68,4.93,5.23,HKG,678.48
68.64.178.42,4,4,0.00,104.82,8.61,12.81,HKG,805.55
216.236.58.14,4,4,0.00,137.38,13.55,15.06,HKG,951.04
