IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
3.112.132.156,4,4,0.00,72.94,26.95,33.08,NRT,722.43
35.201.155.121,4,4,0.00,72.13,24.33,32.71,TPE,730.14
18.176.37.44,4,4,0.00,73.27,20.81,30.61,NRT,822.39
207.148.119.176,4,4,0.00,107.25,30.75,33.08,SIN,355.80
35.76.240.208,4,4,0.00,70.75,13.53,20.04,NRT,733.61
211.49.57.175,4,4,0.00,61.74,13.03,17.72,ICN,679.55
211.49.57.178,4,4,0.00,63.65,12.39,17.81,ICN,697.21
18.178.41.33,4,4,0.00,67.73,14.04,17.62,NRT,1190.58
125.228.236.138,4,4,0.00,82.06,8.76,19.48,TPE,826.23
123.111.169.70,4,4,0.00,63.18,12.17,14.80,ICN,231.28
43.106.102.56,4,4,0.00,88.47,6.52,14.89,SIN,825.54
18.182.54.28,4,4,0.00,71.98,7.92,10.59,NRT,829.66
163.61.74.121,4,4,0.00,90.67,11.46,12.88,HKG,956.29
211.49.57.179,4,4,0.00,66.87,8.12,8.90,ICN,721.75
35.72.81.216,4,4,0.00,70.33,8.03,9.18,NRT,733.35
161.248.31.35,4,4,0.00,83.28,7.24,10.05,HKG,971.33
103.26.8.149,4,4,0.00,90.35,9.12,10.44,SIN,832.16
103.39.79.236,4,4,0.00,71.25,3.55,5.08,HKG,683.85
8.222.193.153,4,4,0.00,90.60,6.78,7.56,NRT,1004.57
216.236.58.13,4,4,0.00,136.25,6.68,8.24,HKG,978.89
