IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
212.135.211.16,4,4,0.00,70.66,37.23,39.08,NRT,783.26
45.89.232.111,4,4,0.00,71.71,33.03,34.18,NRT,269.54
35.74.74.6,4,4,0.00,68.88,25.74,31.87,NRT,785.67
31.57.172.46,4,4,0.00,71.98,28.85,32.10,NRT,265.53
8.210.29.68,4,4,0.00,65.91,25.18,27.97,HKG,925.40
91.200.243.32,4,4,0.00,70.19,28.07,29.69,NRT,780.41
45.143.233.162,4,4,0.00,73.42,29.39,30.41,NRT,263.51
52.199.22.23,4,4,0.00,70.69,19.77,26.68,NRT,784.16
103.135.250.218,4,4,0.00,65.97,15.68,21.56,HKG,752.24
211.49.57.175,4,4,0.00,65.76,19.85,20.37,ICN,772.66
35.201.155.121,4,4,0.00,71.47,19.17,20.92,TPE,786.94
125.228.236.138,4,4,0.00,69.42,16.11,18.32,TPE,848.55
211.49.57.178,4,4,0.00,66.71,12.33,17.10,ICN,776.33
92.38.190.44,4,4,0.00,68.39,12.23,17.25,HEL,1118.30
123.111.169.70,4,4,0.00,67.83,12.29,16.57,ICN,226.04
82.40.42.119,4,4,0.00,70.71,12.32,16.44,NRT,784.30
52.194.99.211,4,4,0.00,71.15,15.16,15.79,NRT,780.77
149.62.44.249,4,4,0.00,69.67,10.98,14.31,NRT,783.39
57.182.89.177,4,4,0.00,71.36,11.89,15.00,NRT,785.84
103.26.8.38,4,4,0.00,90.58,17.34,19.40,SIN,854.04
