IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
35.201.155.121,4,4,0.00,70.33,36.19,41.23,TPE,752.91
103.26.8.149,4,4,0.00,88.64,31.79,35.92,SIN,785.16
149.28.129.157,4,4,0.00,93.54,31.61,35.46,SIN,300.37
207.148.119.176,4,4,0.00,92.41,30.67,31.57,SIN,320.33
211.49.57.178,4,4,0.00,58.29,16.81,23.44,ICN,697.54
43.218.77.16,4,4,0.00,109.19,22.28,28.28,CGK,847.17
92.38.190.44,4,4,0.00,57.83,14.24,21.25,HEL,1066.84
18.178.41.33,4,4,0.00,68.37,13.11,22.03,NRT,742.16
211.49.57.161,4,4,0.00,55.39,16.06,19.10,ICN,695.24
123.111.169.70,4,4,0.00,58.03,13.53,18.75,ICN,156.57
43.168.16.112,4,4,0.00,54.37,13.07,17.79,HKG,689.15
103.201.131.83,4,4,0.00,68.71,12.89,19.06,NRT,742.65
216.236.58.14,4,4,0.00,133.04,24.76,26.58,HKG,409.63
211.49.57.175,4,4,0.00,52.98,12.81,15.89,ICN,703.63
103.201.130.51,4,4,0.00,68.04,11.86,16.32,NRT,748.35
216.236.58.13,4,4,0.00,139.35,23.70,25.66,HKG,408.58
68.64.178.42,4,4,0.00,97.58,18.24,19.53,HKG,830.59
211.49.57.179,4,4,0.00,55.81,3.78,13.74,ICN,706.54
18.176.37.44,4,4,0.00,68.23,14.45,14.92,NRT,774.51
154.12.188.114,4,4,0.00,141.47,18.61,21.35,HKG,425.70
