IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
35.201.155.121,4,4,0.00,68.90,26.29,37.42,TPE,742.49
35.72.81.216,4,4,0.00,72.89,20.27,28.18,NRT,748.47
149.28.129.157,4,4,0.00,92.54,26.30,29.05,SIN,305.04
207.148.119.176,4,4,0.00,92.94,27.31,28.87,SIN,315.55
54.180.151.15,4,4,0.00,97.62,23.52,29.16,ICN,819.33
3.112.132.156,4,4,0.00,73.95,15.71,24.17,NRT,775.54
123.111.169.70,4,4,0.00,56.05,15.34,18.57,ICN,184.23
54.199.97.220,4,4,0.00,71.62,11.81,19.47,NRT,746.07
43.168.16.112,4,4,0.00,52.02,6.76,15.63,HKG,689.94
18.178.41.33,4,4,0.00,69.88,10.99,16.25,NRT,748.73
18.182.54.28,4,4,0.00,77.45,12.26,17.04,NRT,748.11
125.228.236.138,4,4,0.00,77.36,14.90,16.70,TPE,722.11
43.218.77.16,4,4,0.00,105.06,12.50,19.16,CGK,835.33
1.161.58.150,4,4,0.00,74.76,9.91,12.30,TPE,758.60
8.222.193.153,4,4,0.00,93.93,13.16,15.12,NRT,992.86
161.248.31.35,4,4,0.00,83.26,8.99,12.70,HKG,890.97
47.239.4.246,4,4,0.00,52.11,5.80,7.31,HKG,195.02
8.222.185.236,4,4,0.00,84.41,7.61,8.99,NRT,992.26
8.219.155.125,4,4,0.00,83.36,7.08,8.59,NRT,984.17
216.236.58.13,4,4,0.00,139.35,16.17,16.84,HKG,413.65
