IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
18.176.37.44,4,4,0.00,61.04,15.28,20.67,NRT,674.09
103.26.8.186,4,4,0.00,80.32,11.41,20.46,SIN,753.26
35.201.155.121,4,4,0.00,61.04,16.27,18.47,TPE,710.57
52.199.22.23,4,4,0.00,59.32,12.66,18.28,NRT,680.09
3.112.132.156,4,4,0.00,62.67,15.32,16.68,NRT,696.20
125.228.236.138,4,4,0.00,57.37,11.95,16.25,TPE,759.17
43.218.77.16,4,4,0.00,94.79,14.92,16.67,CGK,799.92
54.199.97.220,4,4,0.00,60.49,14.09,14.60,NRT,683.20
54.180.151.15,4,4,0.00,89.87,12.67,15.48,ICN,790.24
8.219.155.125,4,4,0.00,76.41,13.81,14.72,NRT,944.45
149.28.129.157,4,4,0.00,84.71,11.69,14.89,SIN,273.09
35.72.81.216,4,4,0.00,59.32,12.37,13.77,NRT,690.42
54.65.58.58,4,4,0.00,61.13,11.86,13.78,NRT,700.25
123.111.169.70,4,4,0.00,53.50,10.72,13.37,ICN,155.63
18.182.54.28,4,4,0.00,58.52,12.35,12.82,NRT,683.90
43.168.16.112,4,4,0.00,45.16,10.38,12.14,HKG,650.24
162.159.45.236,4,4,0.00,191.82,10.70,17.22,LAX,586.66
47.239.4.246,4,4,0.00,47.91,10.96,11.76,HKG,154.22
18.178.41.33,4,4,0.00,59.37,10.36,12.10,NRT,696.20
8.222.185.236,4,4,0.00,79.25,10.37,12.69,NRT,971.79
