IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
47.239.4.246,4,4,0.00,53.55,54.29,57.45,HKG,190.89
45.89.232.111,4,4,0.00,65.57,42.10,49.42,NRT,220.19
91.200.243.32,4,4,0.00,62.34,33.35,40.29,NRT,723.58
52.194.99.211,4,4,0.00,67.84,32.73,39.42,NRT,722.96
18.176.37.44,4,4,0.00,64.63,33.50,34.66,NRT,746.58
207.148.119.176,4,4,0.00,93.26,34.74,36.06,SIN,293.68
3.112.132.156,4,4,0.00,66.96,25.91,30.13,NRT,742.65
4.194.113.191,4,4,0.00,87.14,30.08,32.41,SIN,1048.63
18.178.41.33,4,4,0.00,61.75,16.72,25.62,NRT,743.30
43.168.16.112,4,4,0.00,55.28,6.86,20.23,HKG,697.97
54.180.151.15,4,4,0.00,94.32,23.14,28.02,ICN,831.68
92.38.190.44,4,4,0.00,57.27,15.84,19.51,KJA,912.37
43.218.77.16,4,4,0.00,100.02,24.16,28.45,CGK,840.48
82.40.42.119,4,4,0.00,61.69,13.03,19.69,NRT,724.75
123.111.169.70,4,4,0.00,57.55,15.79,16.96,ICN,184.73
35.201.155.121,4,4,0.00,65.83,16.61,17.28,TPE,762.68
149.62.44.249,4,4,0.00,65.30,11.80,16.67,NRT,740.33
216.236.58.13,4,4,0.00,129.89,28.82,29.27,HKG,929.17
216.236.58.14,4,4,0.00,130.86,27.33,28.29,HKG,921.31
154.12.188.247,4,4,0.00,134.66,26.75,27.89,HKG,928.35
