IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
35.201.155.121,4,4,0.00,71.30,33.30,38.97,TPE,828.81
47.239.4.246,4,4,0.00,53.45,16.37,35.08,HKG,733.07
18.178.41.33,4,4,0.00,67.20,20.97,33.73,NRT,812.41
3.112.132.156,4,4,0.00,70.98,26.79,32.51,NRT,808.01
154.12.188.247,4,4,0.00,105.40,29.39,33.24,HKG,881.12
47.250.212.59,4,4,0.00,94.30,23.55,28.87,SIN,907.46
154.12.188.114,4,4,0.00,106.32,25.71,29.84,HKG,887.11
92.38.190.44,4,4,0.00,54.24,12.45,16.61,KJA,966.16
54.180.151.15,4,4,0.00,97.31,13.26,20.19,ICN,874.08
125.228.236.138,4,4,0.00,68.43,16.47,16.77,TPE,810.44
45.142.127.194,4,4,0.00,68.25,11.39,15.76,NRT,817.91
43.168.16.112,4,4,0.00,55.52,7.05,14.36,HKG,732.29
8.210.29.68,4,4,0.00,54.24,12.06,14.07,HKG,839.60
82.40.42.119,4,4,0.00,68.58,10.38,13.68,NRT,810.96
34.81.179.112,4,4,0.00,72.48,10.41,13.61,TPE,823.28
60.248.220.67,4,4,0.00,62.88,9.85,12.59,KHH,830.23
104.18.42.69,4,4,0.00,202.25,13.68,20.19,LAX,704.60
8.219.155.125,4,4,0.00,83.65,8.33,10.04,NRT,1057.65
104.18.44.151,4,4,0.00,198.98,12.46,17.61,LAX,666.20
104.17.210.216,4,4,0.00,197.74,12.44,17.35,LAX,656.82
