IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
47.239.4.246,4,4,0.00,61.01,22.07,38.87,HKG,188.65
34.81.179.112,4,4,0.00,83.41,34.84,38.31,TPE,754.99
35.74.74.6,4,4,0.00,80.05,27.03,36.37,NRT,736.50
52.194.99.211,4,4,0.00,83.43,23.93,35.07,NRT,732.40
18.178.41.33,4,4,0.00,81.77,18.72,29.78,NRT,740.41
149.28.129.157,4,4,0.00,94.19,29.70,30.14,SIN,311.70
43.168.16.112,4,4,0.00,63.53,22.24,22.53,HKG,715.94
91.200.243.32,4,4,0.00,102.01,18.40,29.00,NRT,822.61
31.57.172.46,4,4,0.00,95.84,23.80,24.66,NRT,305.20
34.146.105.185,4,4,0.00,110.85,25.71,26.17,NRT,854.99
43.218.77.16,4,4,0.00,119.71,18.33,26.88,CGK,849.62
92.38.190.44,4,4,0.00,62.05,11.77,13.13,KJA,902.56
54.65.58.58,4,4,0.00,75.59,11.13,15.01,NRT,719.33
54.180.151.15,4,4,0.00,100.47,14.22,19.39,ICN,822.85
220.135.92.105,4,4,0.00,76.13,4.60,10.76,TPE,222.72
3.112.132.156,4,4,0.00,85.03,11.88,12.70,NRT,736.55
8.222.185.236,4,4,0.00,89.33,12.53,13.50,NRT,1022.16
52.230.95.97,4,4,0.00,94.27,8.94,10.80,SIN,807.95
38.47.108.54,4,4,0.00,86.43,6.46,8.31,HKG,738.17
8.219.195.31,4,4,0.00,96.02,7.06,8.39,NRT,1015.29
