IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
34.92.74.213,4,4,0.00,60.83,35.60,43.26,HKG,714.51
47.83.119.232,4,4,0.00,61.31,3.31,40.81,HKG,701.54
47.76.151.250,4,4,0.00,61.47,6.27,39.68,HKG,709.10
47.76.68.241,4,4,0.00,61.06,32.84,37.69,TPE,800.60
52.194.99.211,4,4,0.00,75.98,29.71,39.02,NRT,739.07
35.194.222.192,4,4,0.00,74.51,23.78,31.31,TPE,778.47
34.80.5.33,4,4,0.00,72.11,21.60,28.17,TPE,725.71
35.201.136.100,4,4,0.00,72.36,20.89,25.57,TPE,777.35
47.83.117.220,4,4,0.00,61.55,14.10,15.16,HKG,703.08
34.81.167.214,4,4,0.00,74.17,10.68,14.60,TPE,777.03
35.221.156.143,4,4,0.00,75.74,12.87,14.10,HKG,782.43
34.81.179.112,4,4,0.00,72.39,10.03,13.06,TPE,751.11
54.65.58.58,4,4,0.00,67.31,8.49,11.44,NRT,775.39
92.38.190.44,4,4,0.00,61.67,6.48,8.88,HEL,1045.10
34.80.200.60,4,4,0.00,72.29,7.56,9.57,TPE,780.20
45.133.239.173,4,4,0.00,61.17,6.94,8.23,HKG,709.63
172.64.53.223,4,4,0.00,190.71,14.21,22.49,LAX,589.16
104.19.34.170,4,4,0.00,189.74,12.93,21.95,LAX,615.25
8.222.185.236,4,4,0.00,94.41,7.66,9.22,NRT,1021.58
162.159.140.116,4,4,0.00,192.10,11.77,20.35,LAX,614.39
