IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
47.76.151.250,4,4,0.00,58.29,6.85,64.28,HKG,682.67
34.92.74.213,4,4,0.00,59.32,35.99,44.84,HKG,683.11
47.76.68.241,4,4,0.00,59.92,31.93,38.98,TPE,794.51
52.194.99.211,4,4,0.00,71.20,26.81,33.33,NRT,773.62
47.83.117.220,4,4,0.00,59.40,15.24,29.96,HKG,683.17
34.80.5.33,4,4,0.00,73.29,29.12,32.45,TPE,733.25
47.83.119.232,4,4,0.00,59.46,3.87,22.66,HKG,683.01
35.194.222.192,4,4,0.00,77.29,16.94,24.00,TPE,715.58
35.221.156.143,4,4,0.00,71.86,17.33,20.42,HKG,768.25
18.179.140.180,4,4,0.00,76.67,17.94,20.92,NRT,712.55
92.38.190.44,4,4,0.00,65.73,15.74,18.24,SIN,1268.83
54.65.58.58,4,4,0.00,73.52,10.27,13.82,NRT,716.22
35.201.136.100,4,4,0.00,79.31,12.31,13.81,TPE,741.59
34.81.167.214,4,4,0.00,74.55,9.18,12.56,TPE,739.83
34.80.200.60,4,4,0.00,71.71,9.11,11.76,TPE,749.77
45.133.239.173,4,4,0.00,63.15,7.02,8.00,HKG,683.06
34.81.179.112,4,4,0.00,76.62,8.58,10.18,TPE,741.62
8.222.185.236,4,4,0.00,97.18,7.17,8.53,NRT,1006.60
8.222.193.153,4,4,0.00,97.46,6.82,8.07,NRT,1000.94
162.159.140.85,4,4,0.00,188.35,12.52,22.70,LAX,592.94
