IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
35.194.222.192,4,4,0.00,82.91,30.09,34.61,TPE,782.02
34.92.74.213,4,4,0.00,67.26,32.43,33.51,HKG,796.76
34.80.5.33,4,4,0.00,87.27,25.36,33.17,TPE,857.19
35.201.136.100,4,4,0.00,83.26,27.58,32.80,TPE,777.90
35.221.156.143,4,4,0.00,78.77,25.04,29.19,TPE,798.31
47.76.68.241,4,4,0.00,66.61,23.50,24.79,TPE,870.49
47.83.117.220,4,4,0.00,59.55,13.90,17.27,HKG,731.61
104.19.73.137,4,4,0.00,194.60,14.10,24.14,LAX,806.45
104.18.43.46,4,4,0.00,201.31,14.00,24.50,LAX,795.07
172.64.53.223,4,4,0.00,194.06,13.33,23.87,LAX,736.93
162.159.39.28,4,4,0.00,195.48,12.98,23.85,LAX,778.50
104.18.139.92,4,4,0.00,200.96,12.97,22.97,LAX,826.08
104.16.65.1,4,4,0.00,190.85,11.12,22.06,LAX,747.20
162.159.140.116,4,4,0.00,201.31,10.87,22.32,LAX,608.50
104.17.142.212,4,4,0.00,192.41,11.94,20.80,SJC,553.77
34.81.167.214,4,4,0.00,85.01,10.17,13.12,TPE,865.19
162.159.17.64,4,4,0.00,197.77,12.21,20.66,LAX,812.43
52.194.99.211,4,4,0.00,79.48,11.91,12.33,NRT,854.65
34.80.200.60,4,4,0.00,82.50,10.05,12.49,TPE,834.36
162.159.38.32,4,4,0.00,197.77,12.34,18.52,LAX,796.97
