IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
149.28.129.157,4,4,0.00,131.60,24.49,26.88,SIN,513.99
8.219.195.31,4,4,0.00,101.43,14.01,18.92,NRT,1035.22
43.218.77.16,4,4,0.00,113.45,12.33,18.19,CGK,867.11
118.218.10.159,4,4,0.00,66.55,11.78,15.79,ICN,762.22
8.222.193.153,4,4,0.00,96.08,12.48,16.27,NRT,1021.36
64.186.240.9,4,4,0.00,177.58,14.36,18.13,LAX,628.88
64.186.227.25,4,4,0.00,170.23,16.53,17.78,LAX,594.87
64.186.225.13,4,4,0.00,173.29,17.19,17.50,LAX,592.82
154.21.91.144,4,4,0.00,173.90,15.76,16.41,LAX,552.75
154.21.90.126,4,4,0.00,179.54,14.48,16.12,LAX,556.00
125.228.236.138,4,4,0.00,123.27,8.83,12.40,TPE,873.88
154.64.235.157,4,4,0.00,186.45,14.78,15.15,LAX,1101.17
188.95.70.132,4,4,0.00,163.76,13.73,13.99,FRA,520.94
54.65.58.58,4,4,0.00,73.00,7.59,9.75,NRT,761.38
104.18.166.129,4,4,0.00,230.36,7.93,16.82,LAX,506.43
104.18.39.150,4,4,0.00,231.82,6.43,14.08,LAX,745.95
18.179.140.180,4,4,0.00,73.78,0.99,6.14,NRT,803.11
8.222.185.236,4,4,0.00,94.65,5.09,6.24,NRT,1027.43
38.162.115.250,4,4,0.00,260.11,11.69,13.65,LAX,647.71
162.159.197.1,4,4,0.00,232.11,6.34,11.95,LAX,720.82
