IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
212.135.210.88,4,4,0.00,63.62,33.32,43.57,NRT,227.86
151.241.131.13,4,4,0.00,75.09,12.93,24.67,NRT,267.59
118.218.10.159,4,4,0.00,54.21,15.07,21.05,ICN,713.12
92.38.190.44,4,4,0.00,55.08,13.74,21.12,SIN,1311.29
211.49.57.178,4,4,0.00,58.82,10.19,10.91,ICN,714.09
45.150.128.181,4,4,0.00,170.06,18.92,20.83,BKK,1008.40
13.231.33.243,4,4,0.00,71.19,7.80,9.65,NRT,798.10
54.65.58.58,4,4,0.00,82.72,7.50,9.95,NRT,773.38
64.186.225.13,4,4,0.00,166.85,16.70,18.54,LAX,553.88
188.95.70.132,4,4,0.00,155.94,14.22,16.22,FRA,479.26
209.33.173.167,4,4,0.00,97.06,7.32,9.49,NRT,841.44
8.219.195.31,4,4,0.00,92.26,7.45,8.90,NRT,1040.45
45.91.134.91,4,4,0.00,164.11,15.03,16.43,BKK,473.60
8.222.193.153,4,4,0.00,94.75,7.50,8.75,NRT,989.33
43.169.19.179,4,4,0.00,192.84,17.73,18.64,LAX,645.16
69.63.211.169,4,4,0.00,176.20,13.36,16.59,LAX,1043.88
8.222.185.236,4,4,0.00,92.41,6.43,7.69,NRT,1008.76
162.159.44.163,4,4,0.00,209.24,11.29,19.25,LAX,1833.94
52.194.99.211,4,4,0.00,85.78,4.84,5.23,NRT,757.86
172.64.156.112,4,4,0.00,207.81,7.50,15.15,LAX,682.94
