IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
104.18.34.238,4,4,0.00,195.82,11.33,20.19,LAX,472.35
104.18.34.72,4,4,0.00,199.58,11.80,20.93,LAX,505.38
104.18.34.61,4,4,0.00,207.07,13.66,22.50,LAX,435.36
104.18.34.90,4,4,0.00,200.12,9.98,18.10,LAX,479.63
104.18.34.212,4,4,0.00,200.72,9.37,17.43,LAX,483.53
104.18.34.244,4,4,0.00,198.96,7.50,16.11,LAX,476.43
104.18.34.181,4,4,0.00,199.37,8.06,13.80,LAX,464.22
104.18.34.218,4,4,0.00,200.92,9.47,14.26,LAX,474.56
104.18.34.224,4,4,0.00,207.05,12.82,17.04,LAX,446.94
104.18.34.250,4,4,0.00,202.43,9.81,13.30,LAX,423.07
104.18.34.229,4,4,0.00,205.44,10.60,14.78,LAX,433.84
104.18.34.54,4,4,0.00,201.44,8.41,12.55,LAX,476.68
104.18.34.249,4,4,0.00,198.94,4.10,11.07,LAX,481.22
104.18.34.176,4,4,0.00,203.71,9.75,13.15,LAX,424.02
104.18.34.233,4,4,0.00,202.26,9.27,12.33,LAX,427.52
104.18.34.127,4,4,0.00,204.19,9.76,13.17,LAX,508.71
104.18.34.254,4,4,0.00,201.87,9.07,11.13,LAX,420.58
104.18.34.126,4,4,0.00,201.94,8.44,11.14,LAX,421.42
104.18.34.32,4,4,0.00,204.93,9.44,12.76,LAX,433.45
104.18.34.35,4,4,0.00,197.73,5.16,7.88,LAX,492.18
