IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
172.64.79.230,4,4,0.00,227.31,34.11,38.15,SJC,421.98
104.18.34.213,4,4,0.00,227.39,32.09,34.90,LAX,463.47
172.64.32.43,4,4,0.00,228.14,33.51,34.87,LAX,436.95
104.18.34.142,4,4,0.00,227.53,27.73,33.75,LAX,429.22
198.41.216.44,4,4,0.00,228.28,28.70,32.98,LAX,419.24
172.64.79.37,4,4,0.00,228.02,29.14,32.11,SJC,470.59
172.64.32.118,4,4,0.00,228.49,21.59,27.47,LAX,431.68
198.41.216.240,4,4,0.00,227.40,24.77,26.78,LAX,462.48
108.162.198.61,4,4,0.00,210.00,13.42,23.49,SJC,472.04
108.162.198.35,4,4,0.00,168.25,8.64,14.80,SJC,370.99
172.64.79.174,4,4,0.00,210.10,13.16,22.09,SJC,415.16
108.162.198.27,4,4,0.00,174.97,10.27,15.45,SJC,431.85
198.41.219.186,4,4,0.00,175.34,9.16,15.24,SJC,426.97
108.162.198.232,4,4,0.00,215.16,10.13,20.91,SJC,400.29
108.162.198.98,4,4,0.00,183.93,8.60,15.29,SJC,376.88
172.64.79.180,4,4,0.00,213.12,16.40,20.41,SJC,404.51
198.41.219.203,4,4,0.00,175.43,8.68,13.73,SJC,359.38
172.64.79.71,4,4,0.00,196.35,11.58,17.30,SJC,363.26
172.64.79.33,4,4,0.00,179.18,6.50,14.15,SJC,362.03
108.162.198.99,4,4,0.00,176.04,9.58,13.26,SJC,432.64
