IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
52.194.99.211,4,4,0.00,68.30,21.90,27.53,NRT,791.62
118.218.10.159,4,4,0.00,62.24,17.23,23.98,ICN,787.45
43.218.77.16,4,4,0.00,106.68,17.09,25.55,CGK,854.08
43.229.148.43,4,4,0.00,216.35,7.38,29.44,BKK,1414.65
54.199.97.220,4,4,0.00,68.92,17.15,20.18,NRT,791.46
123.111.169.70,4,4,0.00,59.94,15.37,15.58,ICN,210.31
104.18.89.52,4,4,0.00,208.39,8.20,19.93,LAX,496.07
13.231.33.243,4,4,0.00,78.07,8.71,11.66,NRT,790.72
162.159.24.131,4,4,0.00,213.94,9.24,15.55,LAX,690.75
162.159.45.58,4,4,0.00,208.54,6.93,12.14,LAX,496.96
