IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
64.186.227.25,4,4,0.00,172.94,17.53,41.49,LAX,545.03
3.115.100.16,4,4,0.00,74.82,22.81,33.93,NRT,735.42
64.186.236.184,4,4,0.00,176.34,17.68,20.76,LAX,569.22
13.231.33.243,4,4,0.00,70.53,9.14,12.38,NRT,730.50
154.21.91.144,4,4,0.00,166.64,17.43,18.22,LAX,572.51
154.21.90.126,4,4,0.00,181.40,17.40,18.77,LAX,563.27
151.241.131.13,4,4,0.00,82.33,6.46,10.33,NRT,397.00
154.21.89.103,4,4,0.00,172.55,15.32,16.77,LAX,563.10
172.67.183.66,4,4,0.00,202.34,10.18,16.44,LAX,565.09
108.162.198.94,4,4,0.00,193.42,10.30,14.47,SJC,824.09
109.121.39.70,4,4,0.00,187.29,10.96,12.62,SIN,1043.10
47.79.84.167,4,4,0.00,195.96,9.62,12.12,NRT,786.23
104.16.235.93,4,4,0.00,247.84,8.39,13.49,LAX,727.15
172.238.22.36,4,4,0.00,236.49,6.74,10.89,NRT,879.51
