IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
172.104.120.92,4,4,0.00,75.68,25.38,45.50,NRT,731.62
206.237.0.11,4,4,0.00,102.51,29.57,32.52,HKG,235.96
149.118.131.245,4,4,0.00,109.04,20.28,24.40,KUL,856.01
149.118.156.142,4,4,0.00,103.97,20.78,23.51,KUL,841.78
211.49.57.175,4,4,0.00,106.66,16.21,17.20,ICN,817.35
45.150.128.159,4,4,0.00,127.51,13.80,16.03,BKK,940.96
172.237.5.208,4,4,0.00,83.16,8.87,10.79,NRT,298.86
23.27.53.142,4,4,0.00,104.33,8.18,11.60,KUL,824.27
31.57.172.60,4,4,0.00,123.12,11.44,12.50,NRT,896.03
165.101.65.72,4,4,0.00,127.04,10.19,12.37,BKK,962.61
138.3.212.160,4,4,0.00,114.35,5.97,9.31,NRT,333.33
129.154.50.159,4,4,0.00,105.15,6.24,7.35,ICN,842.54
45.142.166.248,4,4,0.00,132.68,8.55,10.04,NRT,393.51
123.111.169.70,4,4,0.00,112.95,5.56,7.82,ICN,249.38
161.248.31.198,4,4,0.00,115.49,2.37,6.14,HKG,963.06
162.159.140.116,4,4,0.00,222.36,5.12,7.09,LHR,671.83
104.18.81.19,4,4,0.00,224.80,4.56,6.67,LHR,687.67
85.155.176.13,4,4,0.00,226.78,4.48,6.03,NRT,822.56
168.144.39.64,4,4,0.00,244.99,4.87,5.11,SIN,745.89
