IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
23.133.52.10,4,4,0.00,63.27,45.82,55.70,HKG,202.53
23.249.17.25,4,4,0.00,81.57,47.64,48.09,NRT,884.55
34.92.79.184,4,4,0.00,69.57,40.43,42.03,HKG,733.98
172.238.22.36,4,4,0.00,75.75,41.95,43.22,NRT,747.56
38.147.190.29,4,4,0.00,73.33,13.13,38.68,HKG,749.79
91.110.182.9,4,4,0.00,76.80,25.32,30.80,HKG,1209.55
172.104.120.92,4,4,0.00,85.24,26.72,31.31,NRT,709.42
43.160.246.223,4,4,0.00,97.00,20.48,25.93,SIN,815.51
47.250.124.22,4,4,0.00,112.13,28.10,28.96,KUL,968.69
149.118.131.245,4,4,0.00,104.92,25.08,26.82,KUL,847.00
205.186.64.123,4,4,0.00,110.68,24.60,26.84,KUL,333.35
103.53.80.24,4,4,0.00,86.38,12.37,21.82,NRT,721.72
149.118.156.142,4,4,0.00,107.88,24.35,25.47,KUL,864.79
20.6.12.145,4,4,0.00,133.59,22.47,23.94,SIN,540.50
125.228.236.138,4,4,0.00,95.81,13.51,15.11,TPE,1087.23
157.85.105.126,4,4,0.00,139.44,23.38,23.78,BKK,417.05
163.61.103.239,4,4,0.00,149.61,24.96,25.17,SIN,382.81
211.49.57.175,4,4,0.00,121.30,16.34,19.41,ICN,323.69
45.8.115.140,4,4,0.00,142.12,22.44,23.22,KIX,392.47
143.14.11.61,4,4,0.00,131.02,13.20,19.30,BKK,415.55
