IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
47.239.4.246,4,4,0.00,66.37,40.65,163.74,HKG,203.06
206.237.0.11,4,4,0.00,66.47,32.63,37.75,HKG,213.27
172.104.81.253,4,4,0.00,70.68,23.25,25.93,NRT,726.20
216.23.86.105,4,4,0.00,68.92,0.88,13.47,NRT,232.12
103.53.80.24,4,4,0.00,75.79,6.85,18.95,NRT,724.75
91.110.209.70,4,4,0.00,69.15,9.47,11.95,HKG,843.52
91.110.209.103,4,4,0.00,68.14,5.22,10.48,HKG,1159.99
91.110.209.106,4,4,0.00,68.01,7.75,9.43,HKG,941.98
91.110.182.13,4,4,0.00,69.28,8.95,10.14,HKG,1549.83
43.133.237.158,4,4,0.00,67.38,3.79,5.63,ICN,210.43
207.65.189.9,4,4,0.00,80.90,10.54,10.57,NRT,749.55
91.193.59.151,4,4,0.00,117.03,11.05,33.16,HKG,132.29
8.219.195.31,4,4,0.00,101.70,12.68,15.89,NRT,1022.94
43.160.246.223,4,4,0.00,100.87,10.51,14.54,SIN,323.39
45.150.128.159,4,4,0.00,123.36,23.30,24.55,BKK,923.46
141.11.43.55,4,4,0.00,116.71,14.33,15.18,SIN,871.61
85.113.70.10,4,4,0.00,125.13,18.69,20.80,NRT,890.30
131.143.215.142,4,4,0.00,128.83,22.45,23.35,NRT,888.35
118.156.166.251,4,4,0.00,131.22,22.86,23.75,NRT,911.34
165.101.65.72,4,4,0.00,123.37,13.81,15.14,BKK,926.12
