IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
206.237.0.11,4,4,0.00,90.27,33.91,72.21,HKG,283.33
172.104.120.92,4,4,0.00,71.84,29.20,30.01,NRT,721.99
172.104.86.229,4,4,0.00,80.10,23.47,27.62,NRT,722.29
172.104.81.253,4,4,0.00,84.08,24.44,28.78,NRT,803.64
216.23.86.105,4,4,0.00,82.80,1.02,13.43,NRT,285.00
8.219.195.31,4,4,0.00,102.31,9.30,19.55,NRT,1059.75
45.150.128.159,4,4,0.00,142.75,23.25,27.49,BKK,916.62
165.101.65.72,4,4,0.00,121.52,14.38,16.28,BKK,906.26
163.61.74.121,4,4,0.00,112.59,3.55,5.52,HKG,1072.19
153.121.45.101,4,4,0.00,125.80,5.95,8.66,NRT,893.90
