IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
45.136.14.61,4,4,0.00,67.96,35.41,42.83,HKG,251.60
45.95.212.117,4,4,0.00,96.75,28.76,31.35,NRT,803.02
91.110.209.100,4,4,0.00,72.87,16.92,27.51,HKG,715.76
85.121.51.114,4,4,0.00,103.43,27.91,29.23,HKG,367.70
91.110.209.103,4,4,0.00,67.06,16.91,27.02,HKG,749.00
54.248.55.203,4,4,0.00,89.30,24.84,27.84,NRT,768.89
23.27.28.142,4,4,0.00,102.66,24.14,25.87,LAX,1400.85
68.183.230.164,4,4,0.00,285.69,13.39,35.55,SIN,719.34
211.49.57.178,4,4,0.00,102.36,24.43,24.86,ICN,824.10
45.150.128.159,4,4,0.00,127.57,24.84,25.46,BKK,924.61
118.156.166.251,4,4,0.00,139.32,23.78,24.18,NRT,933.43
157.85.105.126,4,4,0.00,126.18,22.86,23.32,BKK,931.15
91.110.182.13,4,4,0.00,67.05,16.39,19.77,HKG,722.63
154.83.95.129,4,4,0.00,133.54,20.70,22.66,NRT,887.74
165.101.65.72,4,4,0.00,123.63,18.25,20.96,BKK,905.59
91.110.209.61,4,4,0.00,68.71,12.51,17.16,HKG,724.72
91.110.182.12,4,4,0.00,69.09,16.23,17.01,HKG,750.79
91.110.209.51,4,4,0.00,67.00,16.42,16.62,HKG,730.22
91.110.182.10,4,4,0.00,67.00,13.21,14.25,HKG,739.08
91.110.209.74,4,4,0.00,64.38,11.22,12.88,HKG,725.84
