IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
23.249.17.25,4,4,0.00,70.77,33.87,35.67,NRT,808.43
45.95.212.117,4,4,0.00,91.96,28.43,30.52,NRT,796.57
54.248.55.203,4,4,0.00,85.16,22.88,28.91,NRT,765.56
23.27.28.142,4,4,0.00,104.28,23.01,24.00,SIN,910.69
211.49.57.178,4,4,0.00,102.45,18.95,20.25,ICN,887.24
157.85.105.126,4,4,0.00,132.32,18.98,23.59,BKK,1052.18
45.150.128.159,4,4,0.00,131.81,21.31,22.59,BKK,903.73
91.110.182.12,4,4,0.00,70.55,7.93,10.21,HKG,753.16
43.133.232.228,4,4,0.00,60.70,3.10,8.41,ICN,288.76
45.136.14.61,4,4,0.00,106.33,10.52,15.72,HKG,214.85
165.101.65.72,4,4,0.00,130.33,16.35,18.93,BKK,892.53
91.110.209.51,4,4,0.00,66.57,6.25,7.42,HKG,735.16
91.110.209.100,4,4,0.00,66.23,6.33,7.31,HKG,767.04
45.92.158.56,4,4,0.00,128.90,16.60,17.95,SIN,860.89
91.110.209.103,4,4,0.00,68.23,5.98,6.22,HKG,779.30
91.110.209.74,4,4,0.00,65.56,3.92,5.40,HKG,739.23
91.110.182.13,4,4,0.00,68.96,4.20,5.22,HKG,737.80
211.49.57.179,4,4,0.00,106.16,7.21,9.39,ICN,819.21
61.245.11.45,4,4,0.00,106.95,5.29,6.80,MNL,874.35
154.83.95.129,4,4,0.00,133.14,5.43,10.25,NRT,874.44
