IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
172.104.81.253,4,4,0.00,79.07,22.30,39.31,NRT,729.36
172.104.80.248,4,4,0.00,82.79,35.00,36.35,NRT,733.94
172.104.86.229,4,4,0.00,88.67,27.99,34.13,NRT,728.77
172.104.120.92,4,4,0.00,79.43,24.77,26.60,NRT,720.35
85.121.51.114,4,4,0.00,102.29,25.10,27.39,HKG,404.53
118.156.166.251,4,4,0.00,138.17,24.69,24.90,NRT,918.05
54.248.55.203,4,4,0.00,86.91,14.21,20.77,NRT,773.78
117.18.127.43,4,4,0.00,121.49,19.08,21.18,BKK,901.25
154.83.95.129,4,4,0.00,127.87,18.89,20.45,NRT,887.90
165.101.65.72,4,4,0.00,125.25,14.40,18.69,BKK,905.04
211.49.57.178,4,4,0.00,102.08,14.94,15.68,ICN,812.76
185.212.62.204,4,4,0.00,168.88,18.36,19.35,LHR,960.31
111.97.164.62,4,4,0.00,134.86,14.97,15.63,NRT,453.56
91.110.209.85,4,4,0.00,77.24,6.46,6.61,HKG,728.85
211.49.57.179,4,4,0.00,108.77,4.80,6.15,ICN,872.90
43.133.110.81,4,4,0.00,123.60,4.31,5.68,SIN,967.26
61.245.10.8,4,4,0.00,130.47,5.41,5.97,MNL,999.62
104.18.81.19,4,4,0.00,229.29,6.18,10.14,LHR,466.84
161.118.223.30,4,4,0.00,264.54,6.73,8.01,SIN,731.68
85.155.176.13,4,4,0.00,230.11,3.37,5.25,NRT,830.38
