IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
54.248.55.203,4,4,0.00,87.58,34.19,121.51,NRT,880.01
104.17.167.134,4,4,0.00,76.19,41.02,84.31,HKG,272.36
91.110.209.122,4,4,0.00,71.65,14.59,59.32,HKG,721.78
104.17.48.197,4,4,0.00,76.45,43.52,65.84,HKG,1197.62
104.17.27.81,4,4,0.00,68.32,36.40,46.53,HKG,670.59
104.17.97.227,4,4,0.00,67.03,41.20,42.01,HKG,274.13
104.17.166.201,4,4,0.00,73.12,46.73,48.70,HKG,272.63
104.18.39.21,4,4,0.00,74.56,41.08,50.20,HKG,274.08
104.18.44.205,4,4,0.00,74.64,36.40,47.84,HKG,272.26
104.19.60.61,4,4,0.00,74.21,38.55,41.79,HKG,274.38
91.110.209.65,4,4,0.00,70.28,10.77,32.87,HKG,707.36
104.17.27.106,4,4,0.00,73.40,28.53,35.99,HKG,277.93
104.17.59.88,4,4,0.00,72.20,23.45,33.62,HKG,273.65
104.19.154.200,4,4,0.00,76.54,36.76,41.55,HKG,1362.18
172.104.86.229,4,4,0.00,82.96,22.70,49.25,NRT,719.28
23.249.17.25,4,4,0.00,80.36,39.30,41.94,NRT,880.12
91.110.209.105,4,4,0.00,76.91,31.50,32.82,HKG,735.14
172.104.81.253,4,4,0.00,78.87,27.60,35.69,NRT,730.93
104.17.125.56,4,4,0.00,80.52,12.67,37.83,HKG,165.81
103.170.233.213,4,4,0.00,82.34,37.83,39.22,NRT,728.92
