IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.209.122,4,4,0.00,68.96,32.56,49.65,HKG,738.70
172.104.86.229,4,4,0.00,84.52,41.27,42.26,NRT,226.12
91.110.209.120,4,4,0.00,71.89,32.25,38.66,HKG,727.57
91.110.209.117,4,4,0.00,71.40,33.95,37.77,HKG,732.90
91.110.209.106,4,4,0.00,74.14,32.69,38.32,HKG,745.12
91.110.209.80,4,4,0.00,71.90,35.29,36.94,HKG,719.88
103.170.233.213,4,4,0.00,98.53,40.66,42.29,NRT,229.36
91.110.182.12,4,4,0.00,73.94,29.63,34.58,HKG,715.44
91.110.209.100,4,4,0.00,82.80,26.97,35.68,HKG,711.47
91.110.209.65,4,4,0.00,78.01,23.81,34.07,HKG,754.17
91.110.209.67,4,4,0.00,71.24,26.69,31.83,HKG,730.87
91.110.209.105,4,4,0.00,74.27,26.28,32.04,HKG,751.22
91.110.182.13,4,4,0.00,77.89,29.89,32.05,HKG,725.74
91.110.209.108,4,4,0.00,73.78,28.75,29.98,HKG,710.78
91.110.209.58,4,4,0.00,74.26,24.24,29.56,HKG,746.31
91.110.209.61,4,4,0.00,75.38,27.31,29.58,HKG,723.57
91.110.209.103,4,4,0.00,82.47,29.31,31.17,HKG,716.44
91.110.182.10,4,4,0.00,84.25,25.61,30.75,HKG,238.91
172.104.81.253,4,4,0.00,89.07,28.72,29.84,NRT,223.65
43.160.246.223,4,4,0.00,101.92,26.08,29.69,SIN,364.11
