IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
103.170.233.213,4,4,0.00,79.17,43.39,43.66,NRT,788.06
23.249.17.25,4,4,0.00,77.22,37.54,41.77,NRT,994.42
91.110.209.75,4,4,0.00,68.48,31.36,38.94,HKG,702.74
172.104.81.253,4,4,0.00,86.56,39.79,41.47,NRT,716.43
91.110.182.12,4,4,0.00,69.86,29.42,36.14,HKG,706.99
91.110.209.105,4,4,0.00,68.80,33.24,34.85,HKG,719.76
172.104.86.229,4,4,0.00,90.12,39.19,40.76,NRT,722.13
91.110.209.117,4,4,0.00,67.87,27.00,34.33,HKG,738.38
91.110.209.103,4,4,0.00,73.46,30.16,35.46,HKG,719.07
91.110.182.13,4,4,0.00,72.06,26.85,34.88,HKG,720.51
91.110.209.122,4,4,0.00,74.29,26.41,35.26,HKG,728.50
91.110.209.104,4,4,0.00,73.53,27.13,33.81,HKG,730.04
91.110.209.65,4,4,0.00,68.15,28.24,31.42,HKG,717.44
91.110.209.106,4,4,0.00,72.59,28.27,32.62,HKG,722.48
91.110.182.10,4,4,0.00,70.29,21.90,31.38,HKG,700.00
91.110.209.80,4,4,0.00,72.54,27.26,30.36,HKG,711.36
91.110.209.108,4,4,0.00,74.39,27.70,30.04,HKG,727.56
91.110.209.100,4,4,0.00,73.03,4.15,29.16,HKG,723.56
91.110.209.67,4,4,0.00,74.37,28.14,28.95,HKG,710.86
91.110.209.120,4,4,0.00,74.44,27.53,28.87,HKG,705.85
