IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
45.221.115.92,4,4,0.00,91.58,39.85,43.61,HKG,251.79
91.110.209.120,4,4,0.00,66.53,35.30,39.16,HKG,753.76
209.33.166.199,4,4,0.00,66.48,33.02,35.78,HKG,748.73
149.118.131.245,4,4,0.00,107.84,26.33,28.71,KUL,849.57
43.160.246.223,4,4,0.00,112.14,24.44,28.15,SIN,340.96
143.14.11.61,4,4,0.00,121.94,15.94,24.85,BKK,897.42
45.150.128.159,4,4,0.00,126.32,23.75,24.81,BKK,940.44
77.93.90.231,4,4,0.00,115.26,18.89,20.76,SIN,858.40
165.101.65.72,4,4,0.00,118.48,18.20,20.78,BKK,902.34
125.228.236.138,4,4,0.00,89.04,8.03,12.10,TPE,813.90
167.99.77.145,4,4,0.00,241.17,14.62,21.88,SIN,738.87
152.70.239.74,4,4,0.00,134.28,5.84,8.70,ICN,1456.59
167.99.71.38,4,4,0.00,255.32,14.90,15.48,SIN,739.99
188.166.214.16,4,4,0.00,236.44,12.44,13.41,SIN,796.11
104.18.89.52,4,4,0.00,231.08,8.06,12.93,LHR,695.49
149.118.55.215,4,4,0.00,266.45,10.42,11.60,SIN,734.52
62.60.155.126,4,4,0.00,260.75,6.29,9.14,FRA,791.00
140.245.59.102,4,4,0.00,248.55,7.09,7.64,SIN,703.87
140.245.62.90,4,4,0.00,263.50,7.23,7.44,SIN,957.84
161.118.223.30,4,4,0.00,252.54,5.69,5.95,SIN,718.80
