IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
104.17.121.89,4,4,0.00,62.03,56.24,86.63,HKG,130.54
104.19.154.200,4,4,0.00,64.91,64.95,65.77,HKG,162.00
104.17.162.3,4,4,0.00,66.44,51.23,59.88,HKG,156.80
2.27.109.35,4,4,0.00,62.46,54.31,58.21,HKG,860.01
104.17.212.57,4,4,0.00,62.67,44.64,50.28,HKG,146.94
209.33.166.199,4,4,0.00,65.74,47.89,50.06,HKG,701.03
216.23.93.24,4,4,0.00,64.77,33.14,47.16,HKG,206.60
172.104.81.253,4,4,0.00,68.42,45.83,46.96,NRT,725.35
172.64.146.245,4,4,0.00,66.19,36.03,45.87,HKG,154.61
54.248.55.203,4,4,0.00,83.41,35.83,40.79,NRT,757.65
103.170.233.213,4,4,0.00,68.54,23.70,35.36,NRT,723.79
174.138.18.114,4,4,0.00,235.66,14.31,53.82,SIN,738.82
161.33.181.105,4,4,0.00,120.01,33.66,35.19,NRT,786.26
47.250.124.22,4,4,0.00,105.04,30.47,32.27,KUL,858.74
47.250.81.46,4,4,0.00,105.64,28.06,30.90,SIN,348.34
118.156.166.251,4,4,0.00,124.27,32.47,33.17,NRT,912.30
8.219.155.125,4,4,0.00,98.69,20.88,25.64,NRT,1036.95
157.85.105.126,4,4,0.00,123.71,27.34,29.47,BKK,915.94
45.89.232.242,4,4,0.00,102.26,18.81,24.37,NRT,414.59
45.150.128.159,4,4,0.00,121.98,18.54,23.90,BKK,911.17
