IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
152.175.5.161,4,4,0.00,70.09,17.36,212.89,HKG,697.75
91.110.209.79,4,4,0.00,65.02,31.92,36.48,HKG,723.07
91.110.209.101,4,4,0.00,68.03,22.60,39.59,HKG,735.67
38.207.165.159,4,4,0.00,69.90,36.73,43.62,HKG,716.66
91.110.209.77,4,4,0.00,68.48,29.91,39.90,HKG,719.65
38.55.107.221,4,4,0.00,71.60,43.52,46.83,HKG,706.45
91.110.209.110,4,4,0.00,67.34,22.93,33.69,HKG,692.60
91.110.209.93,4,4,0.00,68.03,28.66,34.84,HKG,720.16
47.238.95.27,4,4,0.00,69.82,33.89,37.78,NRT,848.49
38.207.164.100,4,4,0.00,74.44,42.29,47.21,HKG,729.45
91.110.209.60,4,4,0.00,67.26,19.02,26.73,HKG,716.66
91.110.209.64,4,4,0.00,66.82,23.60,25.28,HKG,752.00
91.110.209.94,4,4,0.00,68.73,22.91,27.20,HKG,736.88
91.110.209.102,4,4,0.00,68.48,17.87,19.76,HKG,698.27
91.110.209.50,4,4,0.00,74.16,24.25,32.04,HKG,727.58
20.89.89.6,4,4,0.00,87.17,34.43,36.05,NRT,719.87
45.94.41.19,4,4,0.00,97.04,43.38,43.92,SIN,311.56
220.132.74.165,4,4,0.00,92.73,27.10,32.06,TPE,783.63
191.222.212.7,4,4,0.00,95.68,31.12,33.48,NRT,223.45
185.194.54.15,4,4,0.00,97.80,36.66,37.84,SIN,293.89
