IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.173,4,4,0.00,66.91,53.36,103.66,HKG,208.54
45.192.205.162,4,4,0.00,70.33,38.00,91.51,HKG,709.83
69.8.128.249,4,4,0.00,74.06,45.94,46.40,NRT,218.06
91.110.209.66,4,4,0.00,74.69,11.42,43.70,HKG,721.68
38.207.174.111,4,4,0.00,69.55,26.31,27.83,HKG,754.95
43.255.156.6,4,4,0.00,64.52,22.42,22.96,HKG,212.05
82.108.155.248,4,4,0.00,91.23,42.30,43.91,NRT,781.83
64.204.49.136,4,4,0.00,77.24,15.19,30.01,NRT,736.76
43.255.156.132,4,4,0.00,70.68,20.78,21.75,HKG,729.88
91.110.209.100,4,4,0.00,68.38,15.24,17.96,HKG,700.17
91.110.209.111,4,4,0.00,71.81,8.21,20.16,HKG,703.31
82.108.155.108,4,4,0.00,98.90,36.47,37.23,NRT,793.61
220.132.74.165,4,4,0.00,89.84,22.39,27.05,TPE,814.60
45.192.203.120,4,4,0.00,93.24,27.45,27.73,HKG,440.64
43.160.254.163,4,4,0.00,98.01,26.88,29.63,SIN,821.62
45.78.49.24,4,4,0.00,98.71,27.48,29.32,KIX,877.06
103.85.27.58,4,4,0.00,107.47,30.94,31.81,NRT,290.01
47.80.57.116,4,4,0.00,110.66,27.30,32.68,ICN,331.87
202.61.75.68,4,4,0.00,109.05,28.51,29.63,KUL,315.31
108.165.177.110,4,4,0.00,107.78,26.30,27.57,KUL,329.51
