IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.201,4,4,0.00,65.88,44.59,150.35,HKG,212.38
91.110.174.173,4,4,0.00,60.81,47.89,107.10,HKG,190.67
216.236.63.190,4,4,0.00,63.78,50.99,52.57,HKG,224.47
91.110.209.59,4,4,0.00,61.94,12.23,32.32,HKG,742.58
45.192.205.162,4,4,0.00,67.79,33.47,37.53,HKG,727.62
91.110.209.111,4,4,0.00,68.30,28.16,32.71,HKG,735.38
91.110.209.66,4,4,0.00,63.92,13.28,26.92,HKG,718.88
91.110.209.93,4,4,0.00,64.62,7.00,27.03,HKG,748.09
69.8.128.201,4,4,0.00,80.56,42.18,46.45,NRT,794.33
91.110.209.62,4,4,0.00,66.22,10.55,20.69,HKG,733.34
91.110.209.100,4,4,0.00,64.82,16.10,18.77,HKG,736.41
91.110.209.76,4,4,0.00,65.13,14.82,18.12,HKG,726.48
91.110.209.102,4,4,0.00,68.36,19.61,20.78,HKG,738.03
69.8.128.99,4,4,0.00,79.88,32.93,34.40,NRT,747.56
45.192.203.120,4,4,0.00,87.18,27.41,28.55,HKG,428.06
211.72.147.91,4,4,0.00,88.88,22.03,25.33,KHH,810.11
203.69.11.79,4,4,0.00,91.21,23.12,27.19,KHH,792.79
202.61.75.68,4,4,0.00,99.95,30.62,32.18,KUL,304.58
146.56.119.205,4,4,0.00,106.95,34.01,36.83,ICN,848.28
129.154.50.72,4,4,0.00,107.32,30.69,35.79,ICN,338.43
