IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.201,4,4,0.00,62.48,49.00,121.05,HKG,215.18
91.110.174.210,4,4,0.00,63.48,44.21,112.49,HKG,200.79
69.8.128.201,4,4,0.00,72.96,32.05,65.33,NRT,760.70
91.110.174.190,4,4,0.00,64.28,45.43,49.79,HKG,192.57
91.110.174.173,4,4,0.00,66.12,46.10,48.65,HKG,190.52
91.110.209.71,4,4,0.00,63.28,3.79,29.35,HKG,730.18
185.92.47.159,4,4,0.00,66.90,29.86,31.52,HKG,884.16
38.207.174.111,4,4,0.00,66.69,22.37,26.36,HKG,781.39
206.237.12.135,4,4,0.00,66.23,10.17,12.06,HKG,783.34
43.154.33.183,4,4,0.00,64.98,5.59,9.64,HKG,742.64
91.110.182.9,4,4,0.00,65.66,4.13,5.97,HKG,708.40
220.132.74.165,4,4,0.00,91.20,26.66,28.95,TPE,841.54
203.69.11.79,4,4,0.00,89.86,23.50,24.40,KHH,852.82
203.69.11.81,4,4,0.00,90.82,22.84,24.79,KHH,828.50
203.69.11.80,4,4,0.00,91.40,20.51,23.94,KHH,861.88
211.72.147.91,4,4,0.00,91.40,20.95,22.59,KHH,844.61
45.154.14.208,4,4,0.00,84.95,11.92,13.88,ICN,804.43
45.202.246.126,4,4,0.00,98.25,23.43,28.40,HKG,892.22
47.80.57.116,4,4,0.00,100.49,27.47,29.13,ICN,869.43
168.107.17.234,4,4,0.00,106.48,19.16,22.51,ICN,351.07
