IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.190,4,4,0.00,61.19,44.03,93.53,HKG,224.03
91.110.174.173,4,4,0.00,58.97,47.49,80.99,HKG,202.22
91.110.174.169,4,4,0.00,62.41,41.66,70.88,HKG,205.84
91.110.174.202,4,4,0.00,63.07,43.86,50.03,HKG,214.10
91.110.174.205,4,4,0.00,64.77,45.53,47.78,HKG,196.18
185.92.47.93,4,4,0.00,71.49,35.87,37.41,HKG,868.72
185.92.47.159,4,4,0.00,66.54,25.63,33.41,HKG,861.59
193.134.211.209,4,4,0.00,63.23,9.88,27.25,HKG,710.30
207.57.123.190,4,4,0.00,62.65,23.04,23.91,HKG,720.01
168.110.110.132,4,4,0.00,105.49,34.76,36.90,ICN,338.58
129.154.50.72,4,4,0.00,104.59,29.27,36.40,ICN,332.56
43.160.220.86,4,4,0.00,104.66,26.43,33.07,SIN,314.59
47.80.57.116,4,4,0.00,106.72,30.20,31.82,ICN,326.61
211.49.57.134,4,4,0.00,113.82,31.82,34.11,ICN,319.38
43.160.241.174,4,4,0.00,102.98,26.84,27.92,SIN,309.47
43.160.254.163,4,4,0.00,104.96,26.65,28.51,SIN,323.31
43.160.238.73,4,4,0.00,101.77,21.46,25.18,SIN,332.22
168.110.121.126,4,4,0.00,103.71,25.27,25.63,ICN,339.26
43.160.203.174,4,4,0.00,105.82,25.83,26.21,SIN,326.61
108.165.177.16,4,4,0.00,106.75,17.60,26.20,KUL,338.64
