IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
185.92.47.159,4,4,0.00,72.29,37.77,64.79,HKG,825.34
91.110.174.202,4,4,0.00,60.05,48.26,51.47,HKG,203.42
91.110.174.173,4,4,0.00,62.64,46.86,50.25,HKG,213.58
91.110.174.205,4,4,0.00,63.08,47.56,49.85,HKG,198.81
91.110.174.190,4,4,0.00,62.27,47.06,47.69,HKG,225.28
185.92.47.93,4,4,0.00,68.26,30.57,40.56,HKG,872.09
91.110.174.169,4,4,0.00,66.51,37.34,38.16,HKG,193.05
207.57.123.190,4,4,0.00,64.22,21.38,36.00,HKG,708.04
129.154.50.72,4,4,0.00,104.75,27.72,34.83,ICN,322.32
47.80.57.116,4,4,0.00,105.33,28.15,29.37,ICN,322.43
43.160.203.174,4,4,0.00,100.37,26.62,27.66,SIN,809.47
69.8.128.249,4,4,0.00,108.81,24.90,27.73,NRT,289.55
168.110.110.132,4,4,0.00,105.92,23.59,26.25,ICN,334.81
211.49.57.134,4,4,0.00,104.09,21.96,25.33,ICN,313.87
168.110.121.126,4,4,0.00,104.75,20.55,24.56,ICN,343.37
43.160.238.73,4,4,0.00,99.78,15.57,21.88,SIN,799.75
211.72.147.91,4,4,0.00,91.13,16.22,18.30,KHH,783.82
203.69.11.79,4,4,0.00,88.98,13.97,16.82,KHH,1232.93
109.107.140.90,4,4,0.00,127.73,25.47,27.63,NRT,383.13
45.192.206.51,4,4,0.00,124.94,20.11,20.41,NRT,381.94
