IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.204,4,4,0.00,62.87,49.14,82.56,HKG,191.00
91.110.174.169,4,4,0.00,62.12,55.93,56.54,HKG,193.00
91.110.174.210,4,4,0.00,65.12,49.87,50.96,HKG,191.00
45.221.115.152,4,4,0.00,68.36,42.26,47.41,HKG,720.48
45.221.115.170,4,4,0.00,70.01,42.41,46.20,HKG,734.25
91.110.174.222,4,4,0.00,65.64,27.57,35.77,HKG,188.01
45.89.232.128,4,4,0.00,95.75,40.76,43.24,NRT,796.09
166.88.7.117,4,4,0.00,105.13,41.10,41.76,KUL,824.69
185.200.64.11,4,4,0.00,109.03,42.23,42.69,NRT,410.98
38.207.174.111,4,4,0.00,69.02,27.19,28.73,HKG,872.68
104.18.33.80,4,4,0.00,67.70,16.33,26.78,HKG,150.35
104.17.127.132,4,4,0.00,66.64,20.78,25.88,HKG,149.83
211.49.57.134,4,4,0.00,101.10,32.20,35.17,ICN,888.11
211.72.147.91,4,4,0.00,91.72,26.31,28.94,KHH,788.47
68.64.179.129,4,4,0.00,66.34,20.92,21.00,HKG,695.90
104.19.154.200,4,4,0.00,65.35,7.94,19.16,HKG,164.13
203.69.11.80,4,4,0.00,87.60,19.90,23.33,KHH,799.92
104.16.156.238,4,4,0.00,66.89,12.88,16.87,HKG,150.35
203.69.11.79,4,4,0.00,91.26,20.85,20.98,KHH,791.44
142.249.60.51,4,4,0.00,158.56,32.97,37.76,TPE,796.83
