IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
211.72.147.91,4,4,0.00,93.31,15.03,43.51,KHH,801.21
211.49.57.134,4,4,0.00,74.69,23.20,26.20,ICN,776.41
203.69.11.80,4,4,0.00,91.49,19.86,22.03,KHH,776.16
104.17.69.244,4,4,0.00,217.43,10.41,15.30,LAX,572.91
13.250.19.142,4,4,0.00,107.75,5.69,5.74,SIN,849.27
13.212.51.42,4,4,0.00,112.44,5.70,6.05,SIN,850.46
13.251.43.214,4,4,0.00,109.39,5.66,5.74,SIN,868.64
13.250.18.50,4,4,0.00,111.01,5.69,5.73,SIN,848.98
8.35.211.18,4,4,0.00,227.87,10.57,14.45,LAX,588.18
172.64.91.69,4,4,0.00,231.73,9.59,14.70,LAX,593.94
104.16.105.166,4,4,0.00,243.79,9.48,15.11,LAX,577.85
104.18.46.114,4,4,0.00,243.80,10.97,15.06,LAX,533.53
104.19.148.88,4,4,0.00,248.49,9.79,14.96,LAX,529.59
104.31.16.158,4,4,0.00,243.70,8.73,14.34,LAX,577.81
104.18.223.253,4,4,0.00,236.26,9.31,13.58,LAX,557.60
104.16.144.249,4,4,0.00,226.99,7.84,11.81,LAX,539.02
104.18.35.253,4,4,0.00,233.19,9.19,12.24,LAX,1056.60
104.18.33.222,4,4,0.00,264.29,9.88,14.60,LAX,543.87
104.18.44.93,4,4,0.00,234.74,7.92,12.06,LAX,546.41
104.17.126.94,4,4,0.00,261.16,8.30,14.27,LAX,551.27
