IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
209.33.166.199,4,4,0.00,66.13,33.15,34.54,HKG,737.42
203.69.11.79,4,4,0.00,89.86,19.42,23.16,KHH,794.81
211.49.57.134,4,4,0.00,107.21,14.48,16.50,ICN,830.13
43.133.251.155,4,4,0.00,64.26,3.31,12.69,ICN,1039.27
203.69.11.80,4,4,0.00,87.36,10.32,13.40,KHH,791.54
211.72.147.91,4,4,0.00,97.07,11.47,12.05,KHH,784.96
216.23.93.27,4,4,0.00,64.51,5.28,6.69,HKG,743.39
8.35.211.18,4,4,0.00,215.62,9.73,13.65,SJC,744.20
104.16.105.166,4,4,0.00,214.95,9.19,13.01,LAX,480.63
13.212.51.42,4,4,0.00,119.61,5.70,5.77,SIN,878.97
13.251.43.214,4,4,0.00,118.75,5.60,5.67,SIN,963.69
13.250.18.50,4,4,0.00,119.32,5.58,5.67,SIN,866.12
162.159.140.85,4,4,0.00,229.32,9.60,13.42,LHR,480.41
104.18.81.19,4,4,0.00,232.75,9.33,13.09,LHR,702.95
104.18.223.253,4,4,0.00,220.19,7.29,11.38,LAX,442.26
162.159.128.253,4,4,0.00,230.00,6.05,8.46,LHR,484.07
104.18.151.172,4,4,0.00,222.81,4.01,6.75,SJC,463.23
