IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
134.185.99.52,4,4,0.00,107.29,25.25,27.10,ICN,861.96
8.134.218.35,4,4,0.00,49.12,18.32,20.07,FRA,1197.14
45.150.128.159,4,4,0.00,139.19,22.52,23.56,BKK,891.75
157.85.105.126,4,4,0.00,138.08,15.82,22.35,BKK,972.26
45.147.48.147,4,4,0.00,139.39,21.72,22.11,FRA,945.37
179.255.124.251,4,4,0.00,170.88,12.00,23.33,LAX,1022.41
64.118.159.219,4,4,0.00,138.00,20.84,21.84,FRA,962.26
203.69.11.79,4,4,0.00,89.51,18.62,19.78,KHH,803.61
181.214.250.86,4,4,0.00,152.92,19.63,21.94,BOM,1015.06
64.186.232.156,4,4,0.00,167.49,16.23,18.19,LAX,1035.62
179.255.116.227,4,4,0.00,163.45,13.58,15.91,LAX,1030.53
179.253.224.128,4,4,0.00,169.70,13.13,14.41,LAX,1028.22
179.255.116.102,4,4,0.00,172.66,12.63,13.04,LAX,1007.43
154.26.181.85,4,4,0.00,170.71,11.12,11.68,LAX,1034.86
104.20.61.163,4,4,0.00,176.34,5.96,10.08,FRA,347.05
167.71.203.125,4,4,0.00,243.63,10.79,11.95,SIN,971.62
152.67.210.234,4,4,0.00,108.52,5.68,6.03,ICN,890.63
104.20.58.20,4,4,0.00,178.01,5.37,7.79,FRA,469.12
172.67.138.108,4,4,0.00,279.82,6.73,10.83,LHR,621.67
152.42.231.213,4,4,0.00,244.66,9.18,9.18,SIN,1252.78
