IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.110.174.210,4,4,0.00,64.22,46.22,96.37,HKG,194.92
91.110.174.204,4,4,0.00,66.26,35.09,42.21,HKG,191.76
91.110.174.222,4,4,0.00,63.65,31.93,39.46,HKG,216.34
91.110.174.190,4,4,0.00,62.10,27.76,34.71,HKG,208.01
211.72.147.91,4,4,0.00,89.73,22.00,26.87,KHH,784.04
203.69.11.79,4,4,0.00,88.85,19.44,21.47,KHH,800.69
203.69.11.80,4,4,0.00,89.85,17.07,19.84,KHH,785.47
157.254.198.27,4,4,0.00,80.61,9.51,11.29,NRT,934.29
154.21.203.206,4,4,0.00,64.34,4.84,5.58,HKG,715.47
207.57.134.29,4,4,0.00,65.79,3.10,5.67,HKG,720.12
114.32.9.249,4,4,0.00,104.05,3.91,5.85,TPE,1053.75
13.251.43.214,4,4,0.00,116.35,5.48,6.22,SIN,874.06
13.250.19.142,4,4,0.00,117.57,5.47,5.73,SIN,1043.03
13.212.51.42,4,4,0.00,119.94,5.40,5.89,SIN,867.81
13.250.18.50,4,4,0.00,118.55,5.23,5.43,SIN,878.41
104.18.81.19,4,4,0.00,228.28,10.98,16.87,LHR,475.69
104.18.89.52,4,4,0.00,230.59,10.16,16.85,LHR,472.46
162.159.140.85,4,4,0.00,230.56,9.46,14.91,LHR,478.22
