IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
23.133.52.10,4,4,0.00,63.19,39.51,159.73,HKG,773.39
82.22.26.202,4,4,0.00,94.51,21.57,49.47,NRT,734.62
91.110.174.204,4,4,0.00,88.99,40.33,41.83,HKG,1160.97
91.213.189.132,4,4,0.00,91.77,41.85,42.68,HKG,726.87
91.110.174.201,4,4,0.00,92.03,36.78,40.05,HKG,1158.54
91.110.174.210,4,4,0.00,92.24,37.56,38.97,HKG,1168.91
69.8.128.249,4,4,0.00,98.05,23.15,27.56,NRT,1171.84
38.207.175.151,4,4,0.00,91.53,15.24,20.98,HKG,726.68
82.108.155.125,4,4,0.00,115.33,30.18,36.61,NRT,779.31
91.213.174.177,4,4,0.00,90.69,13.75,17.28,HKG,724.38
211.72.147.91,4,4,0.00,114.66,25.74,31.21,KHH,896.98
209.33.172.66,4,4,0.00,89.07,11.35,11.79,NRT,724.23
38.207.185.35,4,4,0.00,88.76,8.33,11.09,HKG,724.65
211.49.57.134,4,4,0.00,114.21,23.08,25.81,ICN,833.44
203.69.11.79,4,4,0.00,113.74,20.43,23.70,KHH,790.64
203.69.11.80,4,4,0.00,110.23,19.02,19.75,KHH,798.45
185.92.47.93,4,4,0.00,92.32,5.18,6.14,HKG,868.31
47.80.57.116,4,4,0.00,122.32,19.95,22.44,ICN,838.84
168.110.107.218,4,4,0.00,115.79,6.38,6.56,ICN,841.80
82.47.34.252,4,4,0.00,154.29,17.56,21.25,HKG,1198.34
