IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
91.213.174.177,4,4,0.00,68.35,40.90,80.63,HKG,718.68
185.92.47.93,4,4,0.00,70.85,26.85,44.34,HKG,878.08
91.213.189.132,4,4,0.00,68.26,42.95,43.40,HKG,722.51
82.22.26.202,4,4,0.00,76.12,39.26,40.26,NRT,797.87
211.72.147.91,4,4,0.00,88.20,27.02,32.72,KHH,808.69
202.61.74.174,4,4,0.00,105.94,28.89,30.05,SIN,857.25
38.207.175.151,4,4,0.00,67.26,19.56,20.82,HKG,733.41
82.108.155.248,4,4,0.00,94.10,18.48,23.79,NRT,802.13
203.69.11.79,4,4,0.00,90.41,19.25,23.02,KHH,810.68
209.33.172.66,4,4,0.00,70.24,11.63,16.75,NRT,736.13
211.49.57.134,4,4,0.00,99.75,15.41,19.12,ICN,807.33
47.80.57.116,4,4,0.00,102.56,16.74,18.69,ICN,833.38
123.111.169.70,4,4,0.00,105.58,8.34,9.91,ICN,308.90
168.110.107.218,4,4,0.00,106.50,6.05,7.49,ICN,986.70
151.242.189.184,4,4,0.00,156.35,6.20,7.04,TPE,1206.26
104.18.189.153,4,4,0.00,209.76,10.12,14.69,LAX,1591.21
104.18.81.19,4,4,0.00,229.02,9.07,12.62,LHR,469.24
104.16.65.1,4,4,0.00,259.50,9.06,14.18,LAX,444.35
142.249.60.51,4,4,0.00,255.40,12.19,12.19,TPE,789.41
162.159.198.1,4,4,0.00,272.54,10.52,14.41,LAX,1124.56
