IP 地址,已发送,已接收,丢包率,TCP延迟(ms),平均速率(MB/s),最高速率(MB/s),地区码,追踪延迟(ms)
212.135.211.79,4,4,0.00,94.41,29.20,31.06,NRT,792.30
45.153.245.221,4,4,0.00,99.35,28.78,28.97,NRT,800.66
45.192.196.207,4,4,0.00,94.25,22.00,23.69,NRT,791.00
211.49.57.134,4,4,0.00,108.77,19.93,23.04,ICN,821.77
38.207.164.187,4,4,0.00,70.87,12.23,15.31,HKG,759.87
104.18.40.90,4,4,0.00,106.61,0.24,15.73,HKG,497.01
104.20.50.210,4,4,0.00,172.54,10.30,14.23,FRA,832.79
45.192.201.140,4,4,0.00,97.96,7.59,9.76,NRT,765.54
45.154.14.48,4,4,0.00,163.31,3.60,12.05,ICN,946.39
104.18.32.19,4,4,0.00,210.27,10.23,14.18,LAX,698.20
104.19.212.207,4,4,0.00,216.95,10.29,14.46,LAX,416.71
104.18.151.172,4,4,0.00,212.10,8.70,14.13,LAX,415.66
104.16.105.166,4,4,0.00,210.80,9.62,13.38,LAX,451.43
162.159.128.253,4,4,0.00,234.72,9.06,13.25,LHR,480.76
104.18.81.19,4,4,0.00,234.47,9.18,13.20,LHR,467.38
151.242.189.184,4,4,0.00,259.67,11.02,11.61,TPE,789.35
